Emails,NextStep
"Thank you for your interest in Bonsai!
We received an overwhelming response to the Associate Data Analyst position, which makes us feel both humble and proud that so many talented individuals (like you!) want to join our team. This volume of response makes for an extremely competitive selection process. Although your background is impressive, we regret to inform you that we have decided to pursue other candidates for the position at this time.
Just as we at Bonsai value our customers, we value people like you who take the time to apply and invite you to review future job openings. We hope you see another position that sparks your interest!",No
"Thank you for applying to the Business Coordinator position at Ontario Heart Center.
Unfortunately, Ontario Heart Center has moved to the next step in their hiring process, and your application was not selected at this time.",No
"Thank you for your interest in Morningstar and the time you’ve invested in applying for this role. We are passionate about empowering investor success, and we’re excited to see that you are too!
Though we were impressed with your qualifications and background, we regret to inform you that we will not be moving forward with your candidacy for this position. However, we are always looking to hire great people, and we encourage you to remain informed about our open positions via our Careers Website (https://www.morningstar.com/careers).
We wish you the best in your job search and future professional endeavors.",No
"Thank you for applying to the Investment Associate position at WarriorMind Capital.
Unfortunately, WarriorMind Capital has moved to the next step in their hiring process, and your application was not selected at this time.",No
"Thank you for applying for the role of Personal Banker - 0000FNNL at HSBC Group.
Your qualifications have been reviewed against the requirements for this position. While we value the experience that you bring, we have decided to pursue alternate candidates whose skills are more closely aligned to the job requirements. Therefore, you have been removed from consideration for this particular position.
We do encourage you to continue to visit our website for other opportunities of interest, which may be a good fit with your background.
Thank you once again for your interest in HSBC Group, and we wish you the best.",No
"Thank you for taking the time to consider HSBC Group and the role of Personal Banker - 0000FNNL.
We wanted to let you know your application has been reviewed against the requirements for this position and unfortunately, we won’t be progressing with your application on this occasion.
If you are still interested in joining HSBC Group, we would encourage you to keep an eye out for other interesting opportunities on our career site and consider downloading the HSBC Now News app* where you can find all the latest HSBC Group news and updates.
We wish you all the best in your job search and future professional endeavours.",No
"Unfortunately, Numeris has decided not to move forward with your Data Insights Analyst application at this time.",No
"Unfortunately, North Temp Glass Ltd. has decided not to move forward with your Data Entry Operator application at this time.",No
"Unfortunately, Prodigy Systems Inc. has decided not to move forward with your Campaign Analyst application at this time.",No
"Unfortunately, Amax Leather Ltd has decided not to move forward with your Inventory Coordinator Order Mgmt application at this time.",No
"Unfortunately, Atlantic Packaging Products Ltd. has decided not to move forward with your Financial Analyst application at this time.",No
"Thank you for taking the time to apply for the Risk Analyst role. We appreciate your interest in joining Citco! At this time, we regret to advise that we will not be moving forward with your application.
While your application for this particular role has been unsuccessful, we will retain your resume and details on file and will reach out again if anything changes on our end. In the meantime, we encourage you to sign up for Citco job alerts at 
We wish you all the best in your job search and future professional endeavors.",No
"We have unfortunately decided not to take your application any further for the position of REQ145290 Research Analyst .
Although you aren’t a match for this position, we hope you will keep us in mind for future opportunities. You can also keep up to date with the latest JLL news by joining our
Talent Network
Thank you for your interest in JLL, and we wish you best of luck in searching for your next career opportunity.",No
"Thank you for your application for the above position of Data Consultant .
We would like to thank you for the interest that you have shown in working for Kainos. However, after reviewing your application, we regret to inform you that you have not been short-listed for consideration on this occasion.
We wish you every success in your job search and please feel free to contact us in the event of any queries regarding your application.",No
"Thank you for taking the time to consider HSBC Group and the role of Investment Service Representative - Invest Direct - 0000FK1R.
We wanted to let you know your application has been reviewed against the requirements for this position and unfortunately, we won’t be progressing with your application on this occasion.
If you are still interested in joining HSBC Group, we would encourage you to keep an eye out for other interesting opportunities on our career site and consider downloading the HSBC Now News app where you can find all the latest HSBC Group news and updates.
We wish you all the best in your job search and future professional endeavours.",No
"Thank you for applying for the role of Investment Service Representative - Invest Direct - 0000FK1R at HSBC Group.
Your qualifications have been reviewed against the requirements for this position. While we value the experience that you bring, we have decided to pursue alternate candidates whose skills are more closely aligned to the job requirements. Therefore, you have been removed from consideration for this particular position.
We do encourage you to continue to visit our website for other opportunities of interest, which may be a good fit with your background.
Thank you once again for your interest in HSBC Group, and we wish you the best.",No
"We’d like to let you know that the following job you applied for was closed by the employer:
Corporate Trust Officer
AST Trust Company (Canada)
Toronto
If the employer has not reached out to you, it’s likely that the position has been filled or that they are no longer hiring for this role.*
While we wish we had better news, continuing to search and apply will help you maintain your momentum.",No
"Thank you for your interest in the Operations Analyst opportunity in Vaughan, ON.
We have reviewed your resume and have carefully considered your qualifications. While your skills are certainly impressive, we have decided to pursue other candidates for this position.
We will maintain your records and should a position open that matches your qualifications, we will contact you.  We also encourage you to visit our website as new positions become available.
We appreciate your interest in our company and wish you success in your career search.",No
"Thank you for your interest in joining the Teranet Team. We received your application late in the process and we have already identified a shortlist of candidates that we would like to move forward with.
We value your interest in joining Teranet and we’d like to remain in touch! Your profile and resume will remain in our searchable database. In the meantime however, we encourage you to visit our Careers site regularly to view new and exciting career opportunities. Again, we appreciate your interest in Teranet, wish you success in your job search and hope to connect with you in the near future!",No
